#,Authors,Title,Year,Journal,DOI,Document_Type
1,ABDULLAH W; TARIHORAN N; SUPARDI S; SAENONG F; WASEHUDIN W; SYARIFUDDIN E; FAUZI A; MAMUR I,Advancing sustainable islamic management education through education for sustainable development,2026,DISCOVER SUSTAINABILITY,10.1007/s43621-025-02571-1,ARTICLE
2,AMBALLOOR RG; NAIK SB,Transforming Higher Education for Sustainable Development,2026,INNOVATION STRATEGIES AND THE SUSTAINABLE DEVELOPMENT GOALS: A BLUEPRINT FOR SUSTAINABLE TRANSFORMATION,10.4324/9781003538141-13,BOOK CHAPTER
3,AMUNDRUD A; OMLAND M,Design thinking as an approach to teaching sustainability in higher education: fostering interdisciplinary dialogue and co-creation,2026,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,10.1108/ijshe-07-2025-0751,ARTICLE
4,BARIMO JF; OMAHONY C; MULLALLY G; BYRNE E; REIDY D; KIRRANE M,Integrating Sustainability Across University Curricula: Creating a Dynamic Pan-Disciplinary Framework and Open-Source Materials,2026,WORLD SUSTAINABILITY SERIES,10.1007/978-3-032-00361-4_56,BOOK CHAPTER
5,BISHR EM; BARGHOUT MF; ISMAIL GA; FETOHY EM; EL-ZOKA AH,Effectiveness of an educational program on improving the knowledge and practice of environmental sustainability in dentistry among undergraduate students at Faculty of Dentistry in Egypt: an interventional study,2026,BMC MEDICAL EDUCATION,10.1186/s12909-025-08137-z,ARTICLE
6,BOWDEN R; KONDRATJUK M,“Sustainability is more than saving water” – learning for sustainability through a whole institution process in university teacher education,2026,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,10.1108/ijshe-09-2024-0604,ARTICLE
7,COTTON DRE; WINTER J; DAVIS JS; LINDSEY-TURNER O,Sustainability in business and economics education in South African universities: Whose agenda is it?,2026,INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH OPEN,10.1016/j.ijedro.2025.100531,ARTICLE
8,CRAL SARCA H,From university social responsibility to sustainable development: making sense of service learning through digital storytelling as areflective practice,2026,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,10.1108/ijshe-09-2025-1097,ARTICLE
9,DE LEMOS ESTEVES F; MAES E; MAYEUR B; FASSOTTE F; NEUPREZ P; MERTENS S; DOZO BO; DEFAWEUX V,"Raising Awareness on Sustainability Through Digital Learning: An Institutional SPOC for All Newly Admitted Students, Moving Towards a MOOC Perspective",2026,LECTURE NOTES IN COMPUTER SCIENCE,10.1007/978-3-032-00056-9_16,ARTICLE; PROCEEDINGS PAPER
10,DURAN MKL; MARINAS KAA; YOUNG MN; VILLANUEVA RC,Modeling Filipino Educators' Intentions to Integrate Sustainability Topics in Higher Education Using a Hybrid SEM-ANN,2026,SUSTAINABLE FUTURES,10.1016/j.sftr.2026.101680,ARTICLE
11,JING N; HASSAN Z,"SUSTAINABLE LEADERSHIP IN HIGHER EDUCATION: INTEGRATING LITERACY, BEHAVIORAL, AND INSTITUTIONAL SUPPORT IN MALAYSIAN PUBLIC UNIVERSITIES",2026,MALAYSIAN ONLINE JOURNAL OF EDUCATIONAL MANAGEMENT,nan,ARTICLE
12,LIN L; CHINEDU CC; NKWOCHA PP,Optimizing sustainability literacy in engineering education: a two-stage SEM-neural network investigation of curriculum drivers on sustainability literacy among engineering students,2026,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,10.1108/ijshe-06-2025-0510,ARTICLE
13,MAMMADOVA A; MATIAS DM; AFFUL BEB; DONKOH RF; HARADA S; MONDEN S,Empowering student-led exchanges in biosphere reserves and geoparks: A policy framework for sustainable education in multiple UNESCO designated areas,2026,CURRENT RESEARCH IN ENVIRONMENTAL SUSTAINABILITY,10.1016/j.crsust.2025.100332,ARTICLE
14,MOHD ZAIN FA; WAN ABDULLAH WA; JAFFAR R; SHAHARUDDIN S,Integrating data analytics into accounting curricula: a pathway to SDG achievement in Malaysian higher education,2026,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,10.1108/ijshe-08-2025-0875,ARTICLE
15,MORALES-CASETTI M; RAMIREZ-VALDIVIA M,Incorporation of the SDGs in the industrial engineering curriculum and its contribution to the institutional educational model,2026,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,10.1108/ijshe-04-2024-0265,ARTICLE
16,SATTICH TM; STEDRONSKY S; AS B,Promoting sustainability through competencies? An explorative case study on sustainability education in Norway,2026,JOURNAL OF ASIAN PUBLIC POLICY,10.1080/17516234.2024.2363087,ARTICLE
17,SZENNAY A; CSILLAG S; SZEGEDI K; GYORI Z,Sustainability as a Leading Principle of a University: The Case of Budapest University of Economics and Business,2026,WORLD SUSTAINABILITY SERIES,10.1007/978-3-032-00361-4_11,BOOK CHAPTER
18,TOMBLESON B; WOLF K,Equipping Future Business Leaders: The Role of Work-Integrated Learning in Sustainability,2026,THE SUSTAINABLE DEVELOPMENT GOALS AND THE BUSINESS SECTOR: TRENDS AND IMPLEMENTATION CHALLENGES,10.1108/978-1-83608-134-020261011,BOOK CHAPTER
19,TRNK S; ALMA MH; ALTIKAT S; GULBE A; ALTIKAT A,Sustainable Endeavors at a Turkish University: A UI GreenMetric Exploration,2026,WORLD SUSTAINABILITY SERIES,10.1007/978-3-032-00361-4_21,BOOK CHAPTER
20,TUSHAR H; AHAMED FAS; NARGIS S,Sustainable Development in Action: International University of Business Agriculture and Technology’s Path to a Greener Future,2026,WORLD SUSTAINABILITY SERIES,10.1007/978-3-032-00361-4_27,BOOK CHAPTER
21,WALL T; OSTERLIND E; LEHTONEN A; KHALAIM O; FRIES J; HALLGREN E; PIASECKA S,Drama as a transformational capability of sustainability science,2026,SUSTAINABILITY SCIENCE,10.1007/s11625-025-01751-2,ARTICLE
22,YU CY; NGUYEN TH; NGUYEN HT,Iterative competency development in professional education for sustainability: a Kolb-informed framework for transformative learning in higher education,2026,ASIAN EDUCATION AND DEVELOPMENT STUDIES,10.1108/aeds-08-2025-0416,ARTICLE
23,ZAIN FAM; MUHAMAD SF; HARON HIC,Future-ready accountants for climate action and governance: embedding analytics and SDGs in higher education,2026,JOURNAL OF INTERNATIONAL EDUCATION IN BUSINESS,10.1108/jieb-08-2025-0111,ARTICLE
24,ZHONG F; MA X; JIANG X; MAO Y; LYU X,Sustainable development education's pathways and influencing factors for enhancing sustainability behaviors: a survey of Chinese university students,2026,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,10.1108/ijshe-03-2024-0213,ARTICLE
25,ZIRAKIAN T,Integrating sustainability and research publication in civil engineering capstone education: a longitudinal work-integrated learning model,2026,"HIGHER EDUCATION, SKILLS AND WORK-BASED LEARNING",10.1108/heswbl-10-2025-0481,ARTICLE
