key,title,authors,year,doi,journal,item_type,oa_status,oa_color,best_oa_pdf_url,best_oa_url,license,version,has_repository_copy,oa_locations_count,journal_is_oa,journal_is_in_doaj,cited_by_count,abstract_quality_score,abstract_quality_level
CaeSus_2020,Sustainability Assessment and Benchmarking in Higher Education Institutions-A Critical Reflection,"Caeiro, S.; Sandoval-Hamón, L.A.S.; Martins, R.; Bayas Aldaz, C.E.B.",2020,10.3390/su12020543,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/2/543/pdf?version=1579060385,https://www.mdpi.com/2071-1050/12/2/543/pdf?version=1579060385,cc-by,publishedVersion,True,6,True,False,175,75.2,high
FueInt_2019,"Integrating Sustainability into Higher Education Curricula through the Project Method, a Global Learning Strategy","Fuertes Camacho, M.T.; Graell-Martín, M.; Fuentes-Loss, M.; Balaguer Fàbregas, M.C.",2019,10.3390/su11030767,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/11/3/767/pdf?version=1549020064,https://www.mdpi.com/2071-1050/11/3/767/pdf?version=1549020064,cc-by,publishedVersion,True,3,True,False,148,55.9,medium
CotEdu_2019,Education of sustainable development goals through students’ active engagement: A transformative learning experience,"Cottafava, D.; Cavaglià, G.; Corazza, L.",2019,10.1108/sampj-05-2018-0152,"Sustainability Accounting, Management and Policy Journal",Journal Article,green,green,,http://hdl.handle.net/2318/1715868,other-oa,submittedVersion,True,1,False,False,125,65.0,medium
WilImp_2019,Implementing Competence Orientation: Towards Constructively Aligned Education for Sustainable Development in University-Level Teaching-And-Learning,"Wilhelm, S.; Förster, R.; Zimmermann, A.B.",2019,10.3390/su11071891,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/11/7/1891/pdf?version=1554173356,https://www.mdpi.com/2071-1050/11/7/1891/pdf?version=1554173356,cc-by,publishedVersion,True,3,True,False,116,64.9,medium
DloCom_2019,Competences to Address SDGs in Higher Education-A Reflection on the Equilibrium between Systemic and Personal Approaches to Achieve Transformative Action,"Dlouhá, J.; Heras, R.; Mulà, I.; Perez Salgado, F.P.; Henderson, L.",2019,10.3390/su11133664,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/11/13/3664/pdf?version=1562319253,https://www.mdpi.com/2071-1050/11/13/3664/pdf?version=1562319253,cc-by,publishedVersion,True,7,True,False,109,53.5,medium
ExpImp_2020,Implementation of SDGs in university teaching: A course for professional development of teachers in education for sustainability for a transformative action,"Expósito, L.M.C.; Granados Sánchez, J.G.",2020,10.3390/su12198267,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/19/8267/pdf?version=1602377789,https://www.mdpi.com/2071-1050/12/19/8267/pdf?version=1602377789,cc-by,publishedVersion,True,4,True,False,81,82.5,high
StrUsi_2019,Using Vertically Integrated Projects to embed research-based education for sustainable development in undergraduate curricula,"Strachan, S.M.; Marshall, S.; Murray, P.; Coyle, E.J.; Sonnenberg-Klein, J.",2019,10.1108/ijshe-10-2018-0198,International Journal of Sustainability in Higher Education,Journal Article,hybrid,hybrid,https://www.emerald.com/insight/content/doi/10.1108/IJSHE-10-2018-0198/full/pdf?title=using-vertically-integrated-projects-to-embed-research-based-education-for-sustainable-development-in-undergraduate-curricula,https://www.emerald.com/insight/content/doi/10.1108/IJSHE-10-2018-0198/full/pdf?title=using-vertically-integrated-projects-to-embed-research-based-education-for-sustainable-development-in-undergraduate-curricula,cc-by,publishedVersion,False,1,False,False,75,63.2,medium
SamLea_2016,Learning about Sustainability-What Influences Students' Self-Perceived Sustainability Actions after Undergraduate Education?,"Sammalisto, K.; Sundström, A.; von Haartman, R.; Holm, T.; Yao, Z.",2016,10.3390/su8060510,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/8/6/510/pdf?version=1464337392,https://www.mdpi.com/2071-1050/8/6/510/pdf?version=1464337392,cc-by,publishedVersion,True,4,True,False,72,50.3,medium
MerThe_2017,The use of educational game design and play in higher education to influence sustainable behaviour,"Mercer, T.G.; Kythreotis, A.P.; Robinson, Z.P.; Stolte, T.; George, S.M.",2017,10.1108/ijshe-03-2015-0064,International Journal of Sustainability in Higher Education,Journal Article,green,green,,http://dspace.lib.cranfield.ac.uk/handle/1826/11652,cc-by-nc,submittedVersion,True,2,False,False,70,77.5,high
SchDev_2020,Developing ESD Competences in Higher Education Institutions-Staff Training at the University of Vechta,"Scherak, L.; Rieckmann, M.",2020,10.3390/su122410336,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/24/10336/pdf?version=1608562247,https://www.mdpi.com/2071-1050/12/24/10336/pdf?version=1608562247,cc-by,publishedVersion,True,3,True,False,68,71.8,high
HolMon_2020,Monitoring Progress of Change: Implementation of Education for Sustainable Development (ESD) within Documents of the German Education System,"Holst, J.; Brock, A.; Singer-Brodowski, M.; de Haan, G.",2020,10.3390/su12104306,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/10/4306/pdf?version=1590467987,https://www.mdpi.com/2071-1050/12/10/4306/pdf?version=1590467987,cc-by,publishedVersion,True,5,True,False,67,51.0,medium
BraFos_2021,"Fostering Sustainability Knowledge, Attitudes, and Behaviours through a Tutor-Supported Interdisciplinary Course in Education for Sustainable Development","Brassler, M.; Sprenger, S.",2021,10.3390/su13063494,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/13/6/3494/pdf?version=1616399800,https://www.mdpi.com/2071-1050/13/6/3494/pdf?version=1616399800,cc-by,publishedVersion,True,3,True,False,61,58.0,medium
PriSup_2021,Supporting the role of universities in leading individual and societal transformation through education for sustainable development,"Price, E.A.C.; White, R.M.; Mori, K.; Longhurst, J.; Baughan, P.",2021,10.1007/s43621-021-00058-3,Discover Sustainability,Journal Article,gold,gold,https://link.springer.com/content/pdf/10.1007/s43621-021-00058-3.pdf,https://link.springer.com/content/pdf/10.1007/s43621-021-00058-3.pdf,cc-by,publishedVersion,True,3,True,True,59,61.0,medium
SimDev_2013,Developing Competencies for Education for Sustainable Development: A Case Study of Canadian Faculties of Education,"Sims, Laura; Falkenberg, Thomas",2013,nan,International Journal of Higher Education,Journal Article,bronze,,,,,,,0,,,58,54.5,medium
RisCom_2020,Competences for solving complex problems: A cross-sectional survey on higher education for sustainability learning and transdisciplinarity,"Risopoulos-Pichler, F.; Daghofer, F.; Steiner, G.",2020,10.3390/su12156016,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/15/6016/pdf,https://www.mdpi.com/2071-1050/12/15/6016/pdf,cc-by,publishedVersion,True,3,True,False,57,57.5,medium
SinFac_2022,Facing Crises of Unsustainability: Creating and Holding Safe Enough Spaces for Transformative Learning in Higher Education for Sustainable Development,"Singer-Brodowski, M.; Förster, R.; Eschenbacher, S.; Biberhofer, P.; Getzin, S.",2022,10.3389/feduc.2022.787490,Frontiers in Education,Journal Article,gold,gold,https://www.frontiersin.org/articles/10.3389/feduc.2022.787490/pdf,https://www.frontiersin.org/articles/10.3389/feduc.2022.787490/pdf,cc-by,publishedVersion,True,4,True,True,55,40.2,low
MarSer_2022,"Service Learning as an Education for Sustainable Development (ESD) Teaching Strategy: Design, Implementation, and Evaluation in a STEM University Course","Martín-Sánchez, A; González-Gómez, D; Jeong, JS",2022,10.3390/su14126965,SUSTAINABILITY,Journal Article,gold,gold,https://www.mdpi.com/2071-1050/14/12/6965/pdf?version=1654674901,https://www.mdpi.com/2071-1050/14/12/6965/pdf?version=1654674901,cc-by,publishedVersion,True,2,True,False,55,58.1,medium
BadThe_2020,The Impact of Education for Sustainable Development on Romanian Economics and Business Students' Behavior,"Badea, L.; Şerban-Oprescu, G.L.; Dedu, S.; Piroscă, G.I.",2020,10.3390/su12198169,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/19/8169/pdf?version=1601720939,https://www.mdpi.com/2071-1050/12/19/8169/pdf?version=1601720939,cc-by,publishedVersion,True,3,True,False,53,54.8,medium
ShiThe_2024,The influence of using smart technologies for sustainable development in higher education institutions,"Shishakly, R.; Almaiah, M.A.; Lutfi, A.; Alrawad, M.",2024,10.5267/j.ijdns.2023.10.015,International Journal of Data and Network Science,Journal Article,diamond,gold,https://doi.org/10.5267/j.ijdns.2023.10.015,https://doi.org/10.5267/j.ijdns.2023.10.015,cc-by,publishedVersion,True,2,True,True,52,62.6,medium
KjeEdu_2021,Education for a Sustainable Future: Strategies for Holistic Global Competence Development at Engineering Institutions,"Kjellgren, B.; Richter, T.",2021,10.3390/su132011184,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/13/20/11184/pdf?version=1633942627,https://www.mdpi.com/2071-1050/13/20/11184/pdf?version=1633942627,cc-by,publishedVersion,True,3,True,False,51,58.6,medium
BiaAss_2016,Assessing the infusion of sustainability principles into university curricula,"Biasutti, Michele; De Baz, Theodora; Alshawa, Hala",2016,10.1515/jtes-2016-0012,Journal of Teacher Education for Sustainability,Journal Article,diamond,gold,https://sciendo.com/pdf/10.1515/jtes-2016-0012,https://sciendo.com/pdf/10.1515/jtes-2016-0012,cc-by-nc-nd,publishedVersion,True,2,True,False,50,62.0,medium
AyeThe_2020,The Use of Reflective Pedagogies in Sustainability Leadership Education-A Case Study,"Ayers, J; Bryant, J; Missimer, M",2020,10.3390/su12176726,SUSTAINABILITY,Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/17/6726/pdf?version=1597897695,https://www.mdpi.com/2071-1050/12/17/6726/pdf?version=1597897695,cc-by,publishedVersion,True,4,True,False,50,42.8,low
OrlRef_2020,Reflections on the learning objectives for sustainable development in the higher education curricula - three cases from the University of Belgrade,"Orlović-Lovren, V.; Maruna, M.; Stanarevic, S.",2020,10.1108/ijshe-09-2019-0260,International Journal of Sustainability in Higher Education,Journal Article,green,green,,https://raf.arh.bg.ac.rs/handle/123456789/513,cc-by-nc-nd,submittedVersion,True,2,False,False,49,64.5,medium
DemFos_2023,Fostering students' systems thinking competence for sustainability by using multiple real-world learning approaches,"Demssie, Y.N.; Biemans, H.J.A.; Wesselink, R.; Mulder, M.",2023,10.1080/13504622.2022.2141692,Environmental Education Research,Journal Article,hybrid,hybrid,,https://doi.org/10.1080/13504622.2022.2141692,cc-by-nc-nd,publishedVersion,True,2,False,False,47,71.3,high
ZwoSus_2022,Sustainable Development in Education from Students' Perspective-Implementation of Sustainable Development in Curricula,"Zwolińska-Glądys, K.; Lorenc, S.; Pomykała, R.",2022,10.3390/su14063398,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/14/6/3398/pdf?version=1647275836,https://www.mdpi.com/2071-1050/14/6/3398/pdf?version=1647275836,cc-by,publishedVersion,True,2,True,False,47,53.8,medium
MigAss_2020,Assessment of the Development of Professional Skills in University Students: Sustainability and Serious Games,"Miguel, NP; Lage, JC; Galindez, AM",2020,10.3390/su12031014,SUSTAINABILITY,Journal Article,gold,gold,https://www.mdpi.com/2071-1050/12/3/1014/pdf?version=1580470463,https://www.mdpi.com/2071-1050/12/3/1014/pdf?version=1580470463,cc-by,publishedVersion,True,4,True,False,47,67.7,medium
SánEdu_2021,Education for Sustainable Development in Spanish University Education Degrees,"Sánchez-Carracedo, F.; Moreno-Pino, F.M.; Romero-Portillo, D.; Sureda, B.",2021,10.3390/su13031467,Sustainability (Switzerland),Journal Article,gold,gold,https://www.mdpi.com/2071-1050/13/3/1467/pdf?version=1612236602,https://www.mdpi.com/2071-1050/13/3/1467/pdf?version=1612236602,cc-by,publishedVersion,True,6,True,False,43,83.9,high
