key,title,keywords,abstract_preview,suggested_category,notes
DloCom_2019,Competences to Address SDGs in Higher Education-A Reflection on the Equilibrium between Systemic and Personal Approaches to Achieve Transformative Action,higher education; ESD; competences; future thinking; sustainability; transformation; learning dimensions; socio-emotional domain; SUSTAINABLE DEVELOPMENT; LIVED EXPERIENCE; KEY COMPETENCES; FRAMEWORK; complementarity; learning; literature review; orientation; psychology; teaching,"Competence-oriented teaching that leads to the sustainable transformation of both the individual and society requires a holistic learning process that addresses the cognitive, socio-emotional and behavioural domains of learning in a balanced way. This article questions whether a personal dimension o",,
PriEna_2024,Enabling change agents for sustainable development: a whole-institution approach to embedding the UN Sustainable Development Goals in higher education,Education for sustainable development; Whole institution approach; Sustainability strategy; Climate change education; Carbon Literacy; POLICY INTEGRATION; HUMANITY; NETWORKS,"Purpose: Recognising that there is increasing urgency to equip graduates to become future leaders in delivering the sustainable development goals (SDGs), this study presents a critical analysis of a whole-institution approach to embedding education for sustainable development (ESD) in curricula. Thi",,
PriSup_2021,Supporting the role of universities in leading individual and societal transformation through education for sustainable development,educational development; environmental education; geography education; leadership; learning; socioeconomic conditions; sustainability; Sustainable Development Goal; targeting; teaching; university sector; United Kingdom; DEVELOPMENT GOALS; KEY COMPETENCES; PSYCHOLOGY,"There is growing recognition of the value of Education for Sustainable Development (ESD) for all learners, and of the unique role that universities play in the transformation of individuals, institutions and societies towards more sustainable futures. Universities engage and even lead in several are",,
TayLea_2021,"Learning and teaching interdisciplinary skills in sustainable urban development-the case of tampere university, Finland",Education for sustainable development; Multidisciplinary learning; Pedagogy; Urban; complexity; economic development; education; holistic approach; learning; sustainability; sustainable development; teaching; urban development; Finland,"Developing the economic, environmental, and social sustainability of urban environments is challenging due to the complex and interconnected nature of the context and objectives. In order to be successful in this challenging environment, professionals working in the urban development arena should ha",,
HolMon_2020,Monitoring Progress of Change: Implementation of Education for Sustainable Development (ESD) within Documents of the German Education System,education for sustainable development (ESD); monitoring and evaluation; document analysis; governance; transformation; early childhood education; school education; vocational education and training; higher education; environmental education; EARLY-CHILDHOOD EDUCATION; VOCATIONAL-EDUCATION; COMPETENCES; CURRICULUM; FRAMEWORK; action plan; education; primary education; sustainable development; training; vocational education; Germany,"Education for Sustainable Development (ESD) contributes to a holistic transformation of education systems, fostering deeply rooted learning processes required to co-create a sustainable future for all. The independent project National Monitoring on ESD in Germany traces the status and progress of fo",,
HolMon_2024,"Monitoring SDG 4.7: Assessing Education for Sustainable Development in policies, curricula, training of educators and student assessment (input-indicator)",Sustainable Development Goals (SDGs); SDG 4.7; Education for Sustainable Development (ESD); monitoring & evaluation; document analysis; input-indicator; early childhood education & school education; vocational education & higher education; DEVELOPMENT GOALS; CLIMATE; COMPETENCES; GOVERNANCE; PROGRESS; GERMANY; LENS; education policy; higher education; policy making; Sustainable Development Goal; teacher training; vocational education,"Education is viewed as a critical keystone in achieving the Sustainable Development Goals (SDGs). Specifically, Education for Sustainable Development (ESD) is meant to enable everyone to contribute to sustainable development (SDG 4.7). This target is monitored using the global indicator 4.7.1 – main",,
CavPro_2021,"Provision of education for sustainability development and sustainability literacy in business programs in three higher education institutions in Brazil, Colombia and Peru",Climate change; Sustainable development goals; Education for sustainable development; Green economy; Business studies; Sustainability literacy; UNIVERSITIES; INTEGRATION; MANAGEMENT,"Purpose: This paper aims to report on the status and the development of education for sustainable development (ESD) and sustainability literacy (SL) in three Latin American (LA) higher education institutions (HEIs) business programs in Peru, Brazil and Colombia. The paper examines institutional effo",,
CaeSus_2020,Sustainability Assessment and Benchmarking in Higher Education Institutions-A Critical Reflection,higher education institutions; sustainability benchmarking; sustainability tracking; assessment and rating systemTM; green metrics; education for sustainability; CAMPUS SUSTAINABILITY; ASSESSMENT TOOLS; UNIVERSITY; MODEL; benchmarking; critical analysis; higher education; holistic approach; literature review; rating curve; research institution; sustainability; Madrid; Portugal; Spain,Higher Education Institutions (HEIs) play a crucial role in implementing practices for Education for Sustainable Development (ESD). This implementation should be done in different dimensions according to a holistic and whole-school approach. Different tools have been adapted and developed to assess ,,
"Li,Opt_2023",Optimizing Higher Education for Sustainable Development through the Design and Implementation of the Global Engagement Program,education for sustainable development; higher education; textual analysis; case study; Global Engagement Program; KEY COMPETENCES; DEVELOPMENT ESD; design; global perspective; optimization; Sustainable Development Goal,"Education for Sustainable Development (ESD) plays a significant role in the environmental, economic, social and cultural spheres and is a key element in achieving sustainable development goals. Higher education institutions, as the main producers of future leaders, are essential to the practice of E",,
VelDes_2015,Designing a distance learning sustainability bachelor's degree,Sustainability; Distance learning; Curriculum; DESD; EDS; HIGHER-EDUCATION; CURRICULUM; COMPETENCES; TECHNOLOGY; UNIVERSITY; PROGRAMS; STUDENTS; SCHOOL,This article reports on the curriculum design of a distance learning sustainability bachelor’s degree in order to broaden the coverage and increase the quality of education for sustainable development in Mexican higher education. The goal of this case study was to describe the useful of the competen,,
PauAss_2022,Assessing Education for Sustainable Development in Engineering Study Programs: A Case of AI Ecosystem Creation,sustainability; high education; engineering study programs; artificial intelligence; UNITED-NATIONS; COMPETENCES; TRANSFORMATION; UNIVERSITY; PATHWAYS; TEACHER; SDGS,"The issue of sustainability in education has never been more important for the future of our environment, and strategies to develop the skills needed by younger generations to meet this significant global challenge should be developed across all curricula. There is much focus on the topic of sustain",,
BomBui_2025,"Building learning pathways to enhance education for sustainable development (ESD), quality and relevance",Sustainability; Higher education; Education; Engagement; Labelling; Mapping; IMPLEMENTATION; CURRICULA,"Purpose – This study aims to demonstrate how integrating sustainable development into courses and degree programs can be systematically enhanced using a transparent method that ensures high quality and relevance. By presenting findings from the University of Gothenburg, Sweden, this study addresses ",,
GueCli_2025,Climate action in higher education: advancing sustainable development through an international research consortium,Higher education institutions; Sustainable development; International research consortium; Environmental management systems; Education for sustainable development; Carbon footprint; Climate action; INSTITUTIONS; CHALLENGES; SYSTEM,"Purpose – The main purpose of this research is, through an international research consortium, to identify how higher education institutions develop their strategies in three main areas: (i) implementing environmental management systems; (ii) promoting education for sustainability; and (iii) reducing",,
HoiCre_2021,Creating Transdisciplinary Teaching Spaces. Cooperation of Universities and Non-University Partners to Design Higher Education for Regional Sustainable Transition,higher education for sustainable development; education for sustainable development; ESD certificates; regional transitions; transdisciplinary; multi-level perspective; critical institutionalism; transformative teaching; SDGs; SDG4; sustainable development; education; PERSPECTIVE; MANAGEMENT; higher education; learning; sustainability; teaching; university sector; Germany,Teaching formats involving non-university partners are increasingly gaining importance to deliver key competencies needed in higher education for sustainable development. Such teaching formats may also create new transdisciplinary spaces that allow different actors to impact regional transition towa,,
KjeEdu_2021,Education for a Sustainable Future: Strategies for Holistic Global Competence Development at Engineering Institutions,global competence; engineering education; SDG 4; education for sustainable development; internationalisation; INTERNATIONALIZATION; ABROAD; AWARENESS; CONTEXT; IMPACT; HOME; aspect; education; engineering; globalization; research; sustainable development,"Higher education institutions (HEIs) must ensure that their graduates possess not only professional know-how, but also the global competence to address the challenges posed in the UN’s 2030 Agenda. This is especially relevant in engineering education, which plays an important role in sustainable dev",,
MamEmp_2026,Empowering student-led exchanges in biosphere reserves and geoparks: A policy framework for sustainable education in multiple UNESCO designated areas,Biosphere reserves; Geoparks; Education for sustainable development; UNESCO; Policy framework; Student exchange programs,"This paper presents a policy framework for student-led exchanges within UNESCO-designated Biosphere Reserves (BRs) and Global Geoparks (UGGps), aiming to enhance Education for Sustainable Development (ESD). Drawing on experiential learning theory, place-based education, and transformative learning, ",,
LevOrg_2021,Organizational change for sustainability education: a case study of one university's efforts to create and implement institution-wide sustainability competencies,Higher education; Sustainability; Curriculum; Competencies; Learning outcomes; Education for sustainable development; Organizational change; INTEGRATING SUSTAINABILITY; LEARNING OUTCOMES; KEY COMPETENCES; FRAMEWORK; CURRICULUM; PEDAGOGY,Purpose: The purpose of this study is to examine how the process of creating and implementing sustainability competencies across a university illuminate dynamics of organizational change. The push to advance education for sustainable development in higher education will likely require transformation,,
OrlRef_2020,Reflections on the learning objectives for sustainable development in the higher education curricula - three cases from the University of Belgrade,Higher education; ESD; Learning outcomes; SDGs; Learning objectives; Higher education curricula; Teachers; University of Belgrade; DEVELOPMENT GOALS,Purpose: This purpose of this study is to explore the integration of the sustainable development concept and goals into the curriculum of higher education studies using the example of three faculties of the University of Belgrade. Design/methodology/approach: A qualitative content analysis has been ,,
DécSul_2017,Sulitest: A collaborative initiative to support and assess sustainability literacy in higher education,Sulitest; Sustainability literacy; Higher education; Education for sustainable development; Principles for responsible management education; Sustainable development goals; ENVIRONMENTAL SUSTAINABILITY; KEY COMPETENCES,"This paper highlights the contribution of the Sulitest (the Sustainability Literacy Test) to the global agenda of integrating sustainability into higher education. The Sustainability Literacy Test is an open online training and assessment tool developed as an international collaborative initiative, ",,
KraSus_2021,Sustainability in Brandenburg Study Programs. Perspectives for Anchoring Sustainability in Higher Education Curricula,higher education; sustainability; transformation; curricula; sustainability courses; education for sustainable development (ESD); education policy; governance; regional development; monitoring and evaluation; document analysis; UNIVERSITY CURRICULA; IMPLEMENTATION; INSTITUTIONS; FRAMEWORK; ESD; curriculum; integrated approach; university sector; Brandenburg [Germany]; Germany,"The study investigates the extent to which sustainability is anchored in university curricula of a federal state (Brandenburg, Germany). (1) It provides a baseline for identifying opportunities for sustainability-related curriculum reform by analyzing study programs, levels, type of degree, level of",,
