id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	Gupta (2025)	-0.6661	2.4033	6	21	25	0	2025	<b>Effects of Solutions Centered Climate Education on Youth Beliefs and Behaviors: The University of California's Bending the Curve Course</b><br><i>Sustainability (Switzerland)</i><br>Year: 2025<br>Citations: 0	https://doi.org/10.3390/su17177831
2	Lorenz (2022)	-1.3851	2.1095	7	49	52	4	2022	<b>Innovative Teaching and Learning Formats for the Implementation of Agroforestry Systems-An Impact Analysis after Five Years of Experience with the Real-World Laboratory 'Ackerbaum'</b><br><i>Forests</i><br>Year: 2022<br>Citations: 4	https://doi.org/10.3390/f13071064
3	Hogfeldt (2019)	-2.274	-0.78	11	82	108	22	2019	<b>Mutual Capacity Building through North-South Collaboration Using Challenge-Driven Education</b><br><i>Sustainability (Switzerland)</i><br>Year: 2019<br>Citations: 22	https://doi.org/10.3390/su11247236
4	Da Costa (2025)	0.6453	2.4432	5	23	23	10	2025	<b>Addressing the Demand for Green Skills: Bridging the Gap Between University Outcomes and Industry Requirements</b><br><i>Sustainability (Switzerland)</i><br>Year: 2025<br>Citations: 10	https://doi.org/10.3390/su17062732
5	Henderson (2022)	-1.2796	2.1215	7	163	267	18	2022	<b>An Exploration of the Relationship between Sustainability-Related Involvement and Learning in Higher Education</b><br><i>Sustainability (Switzerland)</i><br>Year: 2022<br>Citations: 18	https://doi.org/10.3390/su14095506
6	Ahmad (2023)	0.468	2.4687	5	198	372	37	2023	<b>CoDesignS Education for Sustainable Development: A Framework for Embedding Education for Sustainable Development in Curriculum Design</b><br><i>Sustainability (Switzerland)</i><br>Year: 2023<br>Citations: 37	https://doi.org/10.3390/su152316460
7	Balan (2025)	-0.4179	2.3875	6	82	94	1	2025	<b>Connecting SDG 2: Zero Hunger with the Other SDGs—Teaching Food Security and the SDGs Interdependencies in Higher Education</b><br><i>Sustainability (Switzerland)</i><br>Year: 2025<br>Citations: 1	https://doi.org/10.3390/su17167496
8	Maganini (2025)	-2.3321	-0.7352	11	81	103	2	2025	<b>Leveraging educational partnerships to integrate education for sustainable development into university geoscience curriculum</b><br><i>International Journal of Sustainability in Higher Education</i><br>Year: 2025<br>Citations: 2	https://doi.org/10.1108/ijshe-07-2024-0445
9	Shephard (2015)	-1.1294	2.1343	7	69	86	82	2015	<b>Seeking learning outcomes appropriate for 'education for sustainable development' and for higher education</b><br><i>Assessment and Evaluation in Higher Education</i><br>Year: 2015<br>Citations: 82	https://doi.org/10.1080/02602938.2015.1009871
10	Bespalyy (2024)	-0.4417	2.4132	6	72	92	15	2024	<b>Sustainable development awareness and integration in higher education: a comparative analysis of universities in Central Asia, South Caucasus and the EU</b><br><i>Discover Sustainability</i><br>Year: 2024<br>Citations: 15	https://doi.org/10.1007/s43621-024-00562-2
11	Álvarez-Nieto (2018)	-2.0425	-0.692	11	9	10	50	2018	<b>Developing digital educational materials for nursing and sustainability: The results of an observational study</b><br><i>Nurse Education Today</i><br>Year: 2018<br>Citations: 50	https://doi.org/10.1016/j.nedt.2017.10.008
12	Maguire (2024)	-0.4862	2.4604	6	72	96	3	2024	<b>Examining the Alignment of Tourism Management Related Curriculum with the United Nations Sustainable Development Goals (SDG's) in Higher Education Institutions in Ireland</b><br><i>Sustainability (Switzerland)</i><br>Year: 2024<br>Citations: 3	https://doi.org/10.3390/su16198554
13	Elsayed (2025)	-0.4362	2.4996	6	168	212	7	2025	<b>Fostering Sustainability Leadership Through SDG 13 Integration in Business Curricula</b><br><i>Sustainability (Switzerland)</i><br>Year: 2025<br>Citations: 7	https://doi.org/10.3390/su17188297
14	B. Franco (2019)	-2.3144	-0.8209	11	151	238	298	2019	<b>Higher education for sustainable development: actioning the global goals in policy, curriculum and practice</b><br><i>Sustainability Science</i><br>Year: 2019<br>Citations: 298	https://doi.org/10.1007/s11625-018-0628-4
15	Martín-Garin (2021)	0.5111	2.4771	5	138	171	34	2021	<b>Pedagogical Approaches for Sustainable Development in Building in Higher Education</b><br><i>Sustainability (Switzerland)</i><br>Year: 2021<br>Citations: 34	https://doi.org/10.3390/su131810203
16	Hung (2023)	-0.4751	2.3451	6	76	89	11	2023	<b>Reflective and Cooperative Learning for Understanding Sustainability through an Eco-Innovation Strategy in Rural Travel and Hospitality: A STEAM Case Study</b><br><i>Sustainability (Switzerland)</i><br>Year: 2023<br>Citations: 11	https://doi.org/10.3390/su151713152
17	Sims (2021)	-0.2861	2.6818	6	13	14	7	2021	<b>University Experiences of Marine Science Research and Outreach Beyond the Classroom</b><br><i>Integrative and Comparative Biology</i><br>Year: 2021<br>Citations: 7	https://doi.org/10.1093/icb/icab104
18	Senevirathne (2021)	-2.3244	0.8481	9	0	0	5	2021	<b>A capacity needs assessment to integrate MOOC-based climate change education with the higher education institutions in Europe and developing countries in Asia: findings of the focused group survey in PCHEI under the BECK project</b><br><i>INTERNATIONAL JOURNAL OF DISASTER RESILIENCE IN THE BUILT ENVIRONMENT</i><br>Year: 2021<br>Citations: 5	https://doi.org/10.1108/ijdrbe-07-2020-0074
19	Yeung (2017)	-2.4087	-0.9149	11	123	181	21	2017	<b>Comparing pedagogies for plastic waste management at university level</b><br><i>International Journal of Sustainability in Higher Education</i><br>Year: 2017<br>Citations: 21	https://doi.org/10.1108/ijshe-04-2016-0073
20	Dlouhá (2019)	-1.2252	2.1722	7	223	508	109	2019	<b>Competences to Address SDGs in Higher Education-A Reflection on the Equilibrium between Systemic and Personal Approaches to Achieve Transformative Action</b><br><i>Sustainability (Switzerland)</i><br>Year: 2019<br>Citations: 109	https://doi.org/10.3390/su11133664
21	Bespalyy (2024)	-0.4055	2.4482	6	103	131	16	2024	<b>Education for sustainable development: comparative analysis and prospects at universities in Kazakhstan, Tajikistan, Kyrgyzstan and Uzbekistan</b><br><i>Discover Sustainability</i><br>Year: 2024<br>Citations: 16	https://doi.org/10.1007/s43621-024-00343-x
