id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	Arpana Gupta	2.479	0.2956	1	7	7	1	2025.0		
2	Satish Jaiswal	2.5001	0.0005	1	7	7	1	2025.0		
3	Suzanna Purpura	2.3903	-0.2757	1	7	7	1	2025.0		
4	Seth Dizon	2.2133	-0.0879	1	7	7	1	2025.0		
5	Markus Buan	2.7212	0.2036	1	7	7	1	2025.0		
6	Fengqiu Adam Dong	2.7961	-0.0462	1	7	7	1	2025.0		
7	Fonna Forman	2.2522	0.1703	1	7	7	1	2025.0		
8	Jyoti Mishra	2.6478	-0.2602	1	7	7	1	2025.0		
9	Tommy Lorenz	2.4204	-0.1534	2	7	7	1	2022.0		
10	Lea Gerster	2.5351	-0.1727	2	7	7	1	2022.0		
11	Dustin Elias Wodzinowski	2.4662	-0.0733	2	7	7	1	2022.0		
12	Ariani C. Wartenberg	2.6153	-0.1129	2	7	7	1	2022.0		
13	Lea Martetschläger	2.6275	-0.0122	2	7	7	1	2022.0		
14	Heike Molitor	2.4898	0.1275	2	9	9	2	2021.5		
15	Tobias Cremer	2.5294	0.0115	2	7	7	1	2022.0		
16	Ralf Bloch	2.3872	-0.0186	2	7	7	1	2022.0		
17	Anna-Karin Högfeldt	2.7944	0.0473	3	7	7	1	2019.0		
18	Anders Rosén	2.2504	0.2638	3	7	7	1	2019.0		
19	Christine Mwase	2.4773	0.3891	3	7	7	1	2019.0		
20	Ann Lantz	2.4983	0.094	3	7	7	1	2019.0		
21	Lena Gumaelius	2.2115	0.0055	3	7	7	1	2019.0		
22	Eva Shayo	2.7195	0.2971	3	7	7	1	2019.0		
23	Suzan Lujara	2.3886	-0.1822	3	7	7	1	2019.0		
24	Nerey H. Mvungi	2.6461	-0.1667	3	7	7	1	2019.0		
25	Tamíris Pacheco da Costa	2.4933	0.1411	4	6	6	1	2025.0		
26	Luz Angela Torres López	2.6918	-0.0724	4	6	6	1	2025.0		
27	Camila Perussello	2.3011	0.354	4	6	6	1	2025.0		
28	F. B. Quinn	2.2136	0.0768	4	6	6	1	2025.0		
29	Quentin Crowley	2.584	0.4154	4	6	6	1	2025.0		
30	Helena McMahon	2.4104	-0.1357	4	6	6	1	2025.0		
31	Nicholas M. Holden	2.7782	0.2021	4	6	6	1	2025.0		
32	Trevion Henderson	2.2106	0.1235	5	6	6	1	2022.0		
33	Jessica Ostrow Michel	2.7751	0.2487	5	6	6	1	2022.0		
34	Alex Bryan	2.2981	0.4006	5	6	6	1	2022.0		
35	Emily Canosa	2.6888	-0.0258	5	6	6	1	2022.0		
36	Clara Gamalski	2.5809	0.4621	5	6	6	1	2022.0		
37	Kelly Jones	2.4903	0.1878	5	6	6	1	2022.0		
38	Jeremy Moghtader	2.4074	-0.0891	5	6	6	1	2022.0		
39	Norita Ahmad	2.7663	0.3034	6	9	10	3	2024.33		
40	Maria Toro-Troconis	2.306	-0.0039	6	9	9	1	2023.0		
41	Mohammed Ibahrine	2.4976	0.3306	6	9	10	2	2024.0		
42	Rose Armour	2.5367	-0.082	6	9	9	1	2023.0		
43	Victoria Tait	2.2294	0.3835	6	9	9	1	2023.0		
44	Katharine Reedy	2.4055	0.5343	6	9	9	1	2023.0		
45	Romas Malevicius	2.6561	0.4975	6	9	9	1	2023.0		
46	Vicki Dale	2.2001	0.1767	6	9	9	1	2023.0		
47	Nathalie Tasler	2.7613	0.0754	6	9	9	1	2023.0		
48	Yuma Inzolia	2.5317	0.1187	6	9	9	1	2023.0		
49	Ioana Mihaela Bălan	2.7774	0.1644	7	9	9	1	2025.0		
50	Teodor Ioan Traşcă	2.5983	0.581	7	9	9	1	2025.0		
51	Monica Ocnean	2.5525	0.342	7	9	9	1	2025.0		
52	Adina Horablaga	2.3856	0.1903	7	9	9	1	2025.0		
53	Nicoleta Mateoc-Sîrb	2.3862	-0.0352	7	9	9	1	2025.0		
54	Cosmin Sălășan	2.6218	0.0035	7	9	9	1	2025.0		
55	Jeni Veronica Tiu	2.3647	0.5676	7	9	9	1	2025.0		
56	Bogdan Petru Radoi	2.2026	0.4143	7	9	9	1	2025.0		
57	Raul Adrian Lile	2.1703	0.1669	7	9	9	1	2025.0		
58	Gheorghe Adrian Firu Negoescu	2.7833	0.4042	7	9	9	1	2025.0		
59	Micky Maganini	2.791	0.3906	8	10	10	1	2025.0		
60	Kelsey E. Herndon	2.6677	0.5401	8	10	10	1	2025.0		
61	T.M. Loran	2.1593	0.376	8	10	10	1	2025.0		
62	Robert Griffin	2.2133	0.1657	8	10	10	1	2025.0		
63	Eric Anderson	2.7595	0.1778	8	10	10	1	2025.0		
64	F.D. van der Meer	2.5413	0.2511	8	10	10	1	2025.0		
65	Roshanak Darvishzadeh	2.5023	0.6452	8	10	10	1	2025.0		
66	Claudia Paris	2.5885	0.0234	8	10	10	1	2025.0		
67	Roelof Rietbroek	2.3865	0.3983	8	10	10	1	2025.0		
68	Margarita Huesca	2.2849	0.5874	8	10	10	1	2025.0		
69	Michael Schlund	2.3704	0.0338	8	10	10	1	2025.0		
70	Kerry Shephard	2.374	0.0575	9	9	9	1	2015.0		
71	John Harraway	2.7711	0.4969	9	9	9	1	2015.0		
72	Brent Lovelock	2.5403	0.4347	9	9	9	1	2015.0		
73	Miranda Mirosa	2.3734	0.283	9	9	9	1	2015.0		
74	Sheila Skeaff	2.7652	0.2571	9	9	9	1	2015.0		
75	Elisabeth Slooten	2.6096	0.0961	9	9	9	1	2015.0		
76	Mick Strack	2.5861	0.6737	9	9	9	1	2015.0		
77	Mary Furnari	2.1904	0.507	9	9	9	1	2015.0		
78	Tim Jowett	2.3525	0.6603	9	9	9	1	2015.0		
79	Lynley Deaker	2.1581	0.2596	9	9	9	1	2015.0		
80	Sergey Bespalyy	2.5401	0.5011	10	8	10	2	2024.0		
81	Alnazarova Gulmira	2.4734	0.416	10	8	10	2	2024.0		
82	Vincenzo Nunzio Scalcione	2.2049	0.3917	10	6	6	1	2024.0		
83	Pavel Vitliemov	2.353	0.6086	10	6	6	1	2024.0		
84	Alexander Sichinava	2.2303	0.5323	10	6	6	1	2024.0		
85	Petrenko Alexandr	2.5109	0.3149	10	8	10	2	2024.0		
86	Andrey Kaptsov	2.2955	0.2793	10	6	6	1	2024.0		
87	Carmen Álvarez‐Nieto	2.379	0.754	11	8	8	1	2018.0		
