id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	US	2.3048	-0.0629	1	12	12	33	2022.42		
2	DE	2.3631	0.9379	2	21	27	54	2022.24		
3	SE	1.9527	1.5273	3	12	13	20	2022.15		
4	TZ	2.1517	1.5296	3	1	1	1	2019.0		
5	IE	2.3674	-0.1624	1	3	3	7	2023.86		
6	QA	1.7083	1.6059	3	5	6	5	2023.0		
7	GB	1.2517	2.167	4	36	47	61	2021.43		
8	AE	1.5688	1.5855	3	5	6	6	2023.0		
9	VE	1.5181	1.6755	3	3	3	1	2023.0		
10	RO	0.459	2.4551	5	0	0	3	2020.67		
11	NL	2.4084	0.8405	2	8	11	8	2020.88		
12	NZ	2.4293	0.1412	1	5	5	3	2020.67		
13	IT	-1.3374	2.1807	7	8	9	13	2022.0		
14	BG	-1.2616	2.117	7	3	3	2	2023.5		
15	GE	-1.2179	2.2111	7	5	5	2	2022.0		
16	KZ	-1.2506	2.0223	7	6	6	3	2024.33		
17	ES	2.3201	0.8007	2	15	23	44	2021.59		
18	JP	2.5694	0.0851	1	6	6	10	2022.7		
19	AU	2.48	0.0072	1	12	13	13	2021.38		
20	TW	2.4641	-0.0818	1	2	2	9	2023.78		
21	LK	1.4506	2.4371	4	2	2	1	2021.0		
22	LT	1.5462	2.3381	4	2	2	2	2021.5		
23	HK	2.7729	-0.0705	1	1	1	2	2020.5		
24	CZ	2.4576	0.7579	2	2	4	4	2021.0		
25	KG	-1.2511	1.8665	7	2	2	1	2024.0		
26	TJ	-1.3273	1.8887	7	2	2	1	2024.0		
27	EG	2.7233	0.2645	1	2	2	3	2025.0		
28	CH	0.9638	2.0203	4	5	6	10	2021.2		
29	BR	1.4255	2.1307	4	4	7	8	2022.62		
30	PT	2.3894	0.6856	2	4	5	9	2020.89		
31	GR	-1.4942	2.1954	7	4	4	3	2021.67		
32	CN	2.6227	-0.008	1	10	14	18	2023.11		
33	PK	2.7172	-0.1406	1	2	2	7	2022.86		
34	FI	2.1096	1.3861	3	3	3	7	2024.57		
35	PE	1.5544	2.0879	4	3	4	2	2023.0		
36	CO	2.2469	0.8921	2	9	15	12	2022.67		
37	AM	-1.1874	2.3263	7	2	2	1	2020.0		
38	AT	-1.1687	2.3893	7	7	7	7	2021.0		
39	BH	2.6647	0.2934	1	2	2	1	2025.0		
40	SA	2.6237	0.1384	1	8	9	4	2023.75		
41	MY	2.6044	0.0498	1	8	13	16	2023.19		
42	HR	-2.0143	1.8652	8	2	2	1	2017.0		
43	MK	-1.6419	1.5637	8	2	2	1	2017.0		
44	RS	-2.0892	1.392	8	2	2	4	2019.0		
45	DK	1.8901	1.6487	3	4	5	8	2022.75		
46	ME	-2.3168	0.9312	9	0	0	1	2025.0		
47	ET	2.5378	0.9328	2	2	2	3	2021.67		
48	SO	-2.5117	-0.0117	10	0	0	1	2024.0		
49	MX	2.2263	0.7759	2	5	5	10	2020.7		
50	NO	2.0289	1.7709	3	5	5	6	2025.0		
51	DO	2.174	0.6246	2	1	1	1	2023.0		
52	PL	1.1814	2.3573	4	5	6	5	2023.4		
53	ID	2.9233	0.0649	1	2	2	9	2024.56		
54	ML	1.8382	1.3618	3	1	1	1	2025.0		
55	FR	1.0813	2.1196	4	10	12	9	2023.22		
56	VN	2.321	-0.3147	1	1	1	1	2024.0		
57	JO	-1.3064	2.3414	7	6	6	4	2022.5		
58	JM	2.1501	-0.0092	1	1	1	2	2022.0		
59	NG	2.4273	0.0502	1	7	7	4	2023.75		
60	CA	2.1851	0.9966	2	4	5	8	2022.75		
61	EC	2.2678	0.9655	2	4	6	3	2024.33		
62	TH	2.7663	0.0456	1	3	3	5	2023.6		
63	NP	-2.2703	-0.8167	11	0	0	2	2024.5		
64	BE	2.3319	0.0097	1	2	2	3	2023.0		
65	GD	-1.9386	-1.5798	12	0	0	1	2024.0		
66	IR	-1.2732	-2.1883	13	0	0	1	2017.0		
67	UA	0.9294	2.1576	4	3	3	3	2023.0		
68	CL	1.2846	1.9059	4	4	4	2	2025.5		
69	ZA	2.3765	0.1175	1	5	5	8	2022.25		
70	SI	-0.422	-2.5577	14	0	0	2	2023.0		
71	UZ	2.5023	1.1119	2	1	1	1	2025.0		
72	UG	1.054	2.4297	4	3	3	1	2025.0		
73	KR	1.1851	2.4947	4	3	3	1	2025.0		
74	IN	0.3479	-2.4901	15	0	0	2	2024.5		
75	PY	1.2101	1.8205	4	4	4	1	2025.0		
76	HN	1.382	1.8446	4	4	4	1	2025.0		
77	BD	2.0701	1.9622	3	2	2	2	2026.0		
78	PR	2.1645	1.9125	3	2	2	1	2026.0		
79	SK	-1.1227	1.9292	7	1	1	1	2025.0		
80	ZW	-1.0746	2.5129	7	2	2	2	2021.5		
81	RU	2.1875	-0.1736	1	1	1	2	2023.0		
82	HU	1.1994	-2.1494	16	0	0	1	2026.0		
83	TR	2.3488	1.1614	2	1	1	4	2024.5		
84	KW	1.8697	-1.6776	17	0	0	1	2024.0		
85	MT	2.1437	-0.0974	1	1	1	2	2023.5		
86	BB	2.4616	0.4872	2	2	2	1	2023.0		
87	BA	2.4225	-0.8663	18	0	0	1	2024.0		
88	LV	1.9804	1.3177	3	1	1	3	2019.33		
89	PH	2.5288	-0.1464	1	1	1	1	2016.0		
90	MO	-0.4307	2.3908	6	0	0	1	2022.0		
