id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	University of California, San Diego	2.2793	0.2174	1	1	1	1	2025.0		
2	University of California, Los Angeles	2.7207	-0.2174	1	1	1	1	2025.0		
3	Eberswalde University for Sustainable Development	2.5055	0.1924	2	9	9	5	2023.2		
4	Leibniz Centre for Agricultural Landscape Research	2.4522	0.2829	2	1	1	1	2022.0		
5	University of Dar es Salaam	2.2753	0.3582	3	1	1	1	2019.0		
6	KTH Royal Institute of Technology	2.7167	-0.0766	3	1	1	2	2020.0		
7	Shannon Applied Biotechnology Centre	2.4905	0.1943	4	4	4	2	2024.5		
8	Munster Technological University	2.4405	0.1102	4	3	3	1	2025.0		
9	University College Dublin	2.4845	0.0373	4	4	4	2	2024.5		
10	Trinity College Dublin	2.5339	0.1066	4	3	3	1	2025.0		
11	Tufts University	2.385	0.5394	5	2	2	1	2022.0		
12	University of Michigan–Ann Arbor	2.7573	0.2379	5	2	2	1	2022.0		
13	Ann Arbor Center for Independent Living	2.3101	0.0662	5	2	2	1	2022.0		
14	Northwestern University in Qatar	2.6292	0.435	6	7	8	2	2024.0		
15	Institute of Advanced Studies in Administration	2.6522	0.3263	6	7	7	1	2023.0		
16	University of Edinburgh	2.4412	0.4375	6	7	7	1	2023.0		
17	The Open University	2.5343	0.4932	6	7	7	1	2023.0		
18	University of Glasgow	2.3727	0.3293	6	8	8	3	2024.0		
19	American University of Sharjah	2.5387	0.3705	6	7	8	2	2024.0		
20	King's College London	2.4773	0.2628	6	7	7	1	2023.0		
21	King's College School	2.5793	0.2445	6	7	7	1	2023.0		
22	Romanian Academy	2.419	0.6963	7	4	4	1	2025.0		
23	Univesity of Life Science 'King Mihai I' from Timisoara	2.6634	0.2231	7	4	4	1	2025.0		
24	West University of Timişoara	2.3396	0.1727	7	4	4	1	2025.0		
25	University of Agronomic Sciences and Veterinary Medicine of Bucharest	2.1882	0.4627	7	4	4	1	2025.0		
26	Aurel Vlaicu University of Arad	2.7118	0.5483	7	4	4	1	2025.0		
27	University of Alabama in Huntsville	2.3524	0.7481	8	2	2	1	2025.0		
28	University of Twente	2.2775	0.2749	8	2	2	1	2025.0		
29	Marshall Space Flight Center	2.7247	0.4467	8	2	2	1	2025.0		
30	University of Otago	2.4616	0.5518	9	0	0	1	2015.0		
31	Innovative University of Eurasia	2.4393	0.6231	10	7	7	2	2024.0		
32	Georgian Technical University	2.1523	0.62	10	4	4	1	2024.0		
