id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	Sustainability Science	-0.6146	2.4397	12	537	3012	168			
2	International Sociology	2.628	0.279	2	9	23	3			
3	Computers	-1.236	2.1229	13	2	4	2			
4	Environmental Politics	-0.773	2.6862	12	1	2	2			
5	Socio-Ecological Practice Research	-0.9332	2.4551	13	5	10	2			
6	College Teaching	2.4199	-0.0815	1	50	133	9			
7	Journal of Statistical Software	1.6593	1.5605	6	2	4	2			
8	New Directions for Adult and Continuing Education	-0.5928	2.3682	12	64	206	17			
9	Educational Psychologist	2.4805	0.0683	1	34	98	10			
10	Environment International	-1.3706	2.4114	13	1	2	2			
11	Local Economy The Journal of the Local Economy Policy Unit	-1.3929	2.3272	13	1	2	2			
12	Field Methods	1.8006	1.802	6	22	58	5			
13	European Educational Research Journal	-0.7049	2.3519	12	14	38	5			
14	Channel View Publications eBooks	-0.5822	2.2107	12	3	6	2			
15	Teachers College Record The Voice of Scholarship in Education	2.3901	0.0518	1	40	113	9			
16	International Journal of Environmental Science and Technology	1.7773	1.9979	6	11	26	3			
17	South African Journal of Accounting Research	1.493	2.0597	6	2	4	2			
18	Qualitative Research in Psychology	2.4628	-0.1121	1	72	251	20			
19	SHILAP Revista de lepidopterología	2.4926	-0.0572	1	123	416	31			
20	Conservation Letters	1.7811	1.761	6	12	27	4			
21	Comunicar	-0.7308	2.243	13	2	4	2			
22	Elsevier eBooks	2.3275	0.3673	2	71	243	22			
23	Medical Entomology and Zoology	-2.2326	1.067	17	159	621	47			
24	New Directions for Student Services	-1.1019	1.9918	13	4	8	2			
25	Center for Educational Policy Studies Journal	-0.7212	2.4338	12	32	95	8			
26	International Journal of Progressive Education	-1.0403	2.0077	13	2	4	2			
27	Computer Applications in Engineering Education	1.4979	2.0299	6	5	13	3			
28	Teaching and Learning in Medicine	1.5328	2.0905	6	5	10	2			
29	European Journal of Open Distance and E-Learning	-1.2193	2.343	13	4	8	2			
30	Journal of Research in International Education	-0.7308	2.3693	13	3	6	2			
31	TRENDS IN THE SCIENCES	-2.3769	0.8369	17	5	10	2			
32	QUT ePrints (Queensland University of Technology)	1.9313	2.1272	6	3	6	2			
33	Western CEDAR (Western Washington University)	1.7033	1.7383	6	17	39	4			
34	International Journal of Emerging Technologies in Learning (iJET)	-0.8059	2.3616	13	5	10	3			
35	Progress in Development Studies	-0.7304	2.303	13	3	6	2			
36	Verlag Barbara Budrich eBooks	-0.6176	2.4905	12	46	163	13			
37	Ra Ximhai	-2.3673	-0.1296	20	9	18	2			
38	Design Management Journal (Former Series)	1.6357	1.5907	6	4	8	2			
39	Frontiers in Public Health	-1.0756	2.3955	13	8	22	4			
40	DergiPark (Istanbul University)	1.6891	1.7848	6	16	42	4			
41	Journal of Biological Education	1.7031	1.9342	6	23	65	7			
42	Ecological Engineering	-2.3773	-0.2148	20	10	22	3			
43	International Legal Materials	-0.8476	2.2433	13	11	26	5			
44	Economies	-1.1776	2.1216	13	4	8	2			
45	Canadian Journal of Educational Administration and Policy	-0.7409	2.4149	12	15	41	4			
46	Revista Electrónica Educare	-2.2039	-0.1389	20	18	39	3			
47	Figshare	-2.5635	1.2086	17	9	18	2			
48	Journal of Technology and Science Education	1.6635	1.978	6	12	26	3			
49	Scandinavian Journal of Educational Research	1.6445	1.9643	6	9	21	3			
50	Public Understanding of Science	-2.3654	1.5678	17	1	2	2			
51	Land	2.2816	0.5024	2	13	35	6			
52	Methodology of educational measurement and assessment	-0.9482	2.03	13	3	6	2			
53	Behavioral Sciences	2.1873	0.4914	2	5	10	2			
54	Accounting Education	-0.8606	2.1848	13	21	49	6			
55	The International Encyclopedia of Communication Research Methods	-2.4247	1.2299	17	12	27	3			
56	edoc (University of Basel)	1.6282	1.5601	6	2	4	2			
57	European Political Science	2.6124	0.6382	2	1	2	2			
58	Journal of Community Psychology	1.7797	1.5785	6	3	6	2			
59	Industrial and Commercial Training	-0.4608	2.5555	12	4	9	3			
60	Nature Communications	1.5738	1.6932	6	7	16	4			
61	Procedia Engineering	-1.0804	2.3682	13	8	21	4			
62	European Journal of Information Systems	1.9301	2.0808	6	3	6	2			
63	Science Technology & Human Values	-0.9715	2.1606	13	7	18	4			
64	The Learning Organization	-2.4696	1.188	17	9	20	3			
65	Philosophical Transactions of the Royal Society B Biological Sciences	1.767	2.0353	6	6	12	2			
66	European Journal of Teacher Education	2.4526	-0.2002	1	16	40	5			
67	Entrepreneurship Theory and Practice	2.3064	0.5756	2	9	19	3			
68	Earth System Governance	2.3365	0.2172	2	6	12	2			
69	Economics & Sociology	-1.3831	2.3567	13	1	2	2			
70	Journal of Human Development and Capabilities	1.5172	1.6496	6	4	8	2			
71	Journal of Nursing Education	-2.3397	0.8048	18	0	0	2			
72	Construction Management and Economics	-2.4335	0.4876	19	0	0	2			
73	Educational Research	1.7411	1.8053	6	29	85	7			
74	Harvard Educational Review	1.8141	1.8238	6	17	48	6			
75	Sustainable Earth Reviews	1.7489	1.6933	6	7	14	2			
76	Creative Education	-0.5469	2.5115	12	23	66	6			
77	Planning for higher education	-0.5613	2.4074	12	71	271	22			
78	Theory and Research in Education	-0.86	2.2952	13	10	32	7			
79	Management Research News	1.5109	1.617	6	5	10	2			
80	International journal on teaching and learning in higher education	-0.9411	2.4327	13	7	15	3			
81	Adult Education Quarterly	-0.5407	2.3309	12	19	55	6			
82	International Journal of Global Warming	1.8288	1.7962	6	9	18	2			
