id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	US	-2.0021	1.4268	3	85	2036	458	2022.42		
2	DE	0.7524	-2.3905	5	84	3280	910	2022.24		
3	SE	2.4439	-0.0989	1	82	1671	357	2022.15		
4	TZ	2.4894	-0.3351	1	47	161	22	2019.0		
5	IE	-1.9563	1.4077	3	81	924	97	2023.86		
6	QA	2.4117	0.0415	1	77	897	103	2023.0		
7	GB	-2.03	-1.4622	4	85	3628	1021	2021.43		
8	AE	2.4506	0.1525	1	77	814	294	2023.0		
9	VE	2.3099	0.222	1	61	379	37	2023.0		
10	RO	0.7088	2.1807	2	78	485	79	2020.67		
11	NL	0.7105	2.3255	2	78	1200	241	2020.88		
12	NZ	-1.8004	-1.4799	4	58	387	103	2020.67		
13	IT	0.785	-2.3589	5	78	1294	369	2022.0		
14	BG	0.8363	-2.3105	5	70	378	20	2023.5		
15	GE	0.8388	-2.4195	5	63	365	19	2022.0		
16	KZ	0.8955	-2.3014	5	54	250	32	2024.33		
17	ES	0.8055	2.349	2	83	3291	1274	2021.59		
18	JP	-2.0779	1.497	3	77	1104	402	2022.7		
19	AU	-2.0126	1.4999	3	81	1661	483	2021.38		
20	TW	-2.0633	1.3682	3	79	840	68	2023.78		
21	LK	-1.8085	-1.1229	4	2	36	5	2021.0		
22	LT	-1.8427	-1.2666	4	58	209	31	2021.5		
23	HK	-2.173	1.5141	3	64	367	25	2020.5		
24	CZ	0.6412	2.3969	2	76	623	151	2021.0		
25	KG	0.9142	-2.4047	5	52	176	16	2024.0		
26	TJ	0.9244	-2.3482	5	52	176	16	2024.0		
27	EG	-2.2602	1.3894	3	58	248	39	2025.0		
28	CH	0.7278	-2.4176	5	80	1522	385	2021.2		
29	BR	-2.1077	-1.5325	4	78	791	97	2022.62		
30	PT	0.7352	2.4176	2	81	1052	327	2020.89		
31	GR	0.7118	-2.3108	5	64	365	117	2021.67		
32	CN	-2.057	1.4445	3	83	1942	221	2023.11		
33	PK	-1.9614	1.5017	3	77	689	144	2022.86		
34	FI	0.6726	-2.4021	5	73	665	32	2024.57		
35	PE	-2.1892	-1.5742	4	60	349	33	2023.0		
36	CO	0.8734	2.3462	2	82	1728	140	2022.67		
37	AM	0.8142	-2.5216	5	55	211	4	2020.0		
38	AT	0.7563	-2.453	5	81	1097	195	2021.0		
39	BH	-2.328	1.3194	3	14	125	9	2025.0		
40	SA	-2.1748	1.4055	3	65	519	81	2023.75		
41	MY	-2.1052	1.4604	3	76	1311	85	2023.19		
42	HR	0.8709	2.669	2	41	183	8	2017.0		
43	MK	0.72	2.6689	2	41	183	8	2017.0		
44	RS	0.7545	2.5139	2	77	715	103	2019.0		
45	DK	2.5371	-0.0544	1	75	907	294	2022.75		
46	ET	0.6466	2.2722	2	77	802	65	2021.67		
47	SO	0.769	1.9855	2	60	247	7	2024.0		
48	MX	0.8049	2.2438	2	81	919	133	2020.7		
49	NO	2.6601	-0.0237	1	73	773	13	2025.0		
50	DO	1.0274	2.2397	2	53	274	7	2023.0		
51	PL	-2.0835	-1.3525	4	75	683	76	2023.4		
52	ID	2.53	0.3045	1	68	562	33	2024.56		
53	ML	2.1991	-0.0272	1	62	223	5	2025.0		
54	FR	0.7056	-2.369	5	79	1271	189	2023.22		
55	VN	-1.9239	1.334	3	63	456	19	2024.0		
56	JO	-1.8759	-1.5326	4	50	406	119	2022.5		
57	JM	-2.0368	1.2205	3	54	139	36	2022.0		
58	NG	-2.116	1.5744	3	57	420	28	2023.75		
59	CA	0.8649	2.4357	2	78	1040	80	2022.75		
60	EC	0.9597	2.3689	2	75	768	11	2024.33		
61	TH	2.6091	0.1961	1	70	591	8	2023.6		
62	NP	1.0147	2.5311	2	71	337	18	2024.5		
63	BE	-1.8905	1.4979	3	70	387	45	2023.0		
64	GD	-2.0228	1.9787	3	15	16	4	2024.0		
65	IR	0.901	2.1791	2	65	414	106	2017.0		
66	UA	0.7078	-2.4665	5	61	362	22	2023.0		
67	CL	-1.9055	-1.7078	4	37	162	0	2025.5		
68	ZA	-2.0327	1.6123	3	71	505	80	2022.25		
69	SI	0.7242	-2.221	5	60	244	28	2023.0		
70	UZ	0.8331	-2.7557	5	1	6	0	2025.0		
71	UG	-2.1732	-1.3003	4	23	211	0	2025.0		
72	KR	-2.0812	-1.2496	4	23	211	0	2025.0		
73	IN	0.5976	-2.3046	5	58	172	0	2024.5		
74	PY	-1.9676	-1.7971	4	30	150	0	2025.0		
75	HN	-2.0753	-1.7615	4	30	150	0	2025.0		
76	BD	2.7885	0.0599	1	68	334	0	2026.0		
77	PR	2.831	-0.0812	1	58	246	0	2026.0		
78	SK	1.2621	-2.061	5	1	3	1	2025.0		
79	ZW	0.6512	-2.54	5	52	130	15	2021.5		
80	RU	-1.6821	1.2827	3	27	43	2	2023.0		
81	HU	0.6185	-2.2565	5	60	151	0	2026.0		
82	TR	0.7737	-2.2822	5	60	258	14	2024.5		
83	KW	0.4931	-2.4128	5	41	71	4	2024.0		
84	MT	-1.7453	1.4535	3	48	110	2	2023.5		
85	BB	-2.3749	-1.4329	4	33	92	4	2023.0		
86	BA	0.5094	2.7214	2	46	93	0	2024.0		
87	LV	2.2395	-0.3561	1	50	211	16	2019.33		
88	PH	-1.8514	1.6702	3	33	67	9	2016.0		
89	MO	0.3607	2.3301	2	42	88	8	2022.0		
