id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	Sustainability (Switzerland)	1.2368	2.1751	3	105	2115	2013			
2	Forests	2.8659	0.0253	1	22	25	4			
3	International Journal of Sustainability in Higher Education	1.2509	2.1778	3	106	2095	2231			
4	Assessment and Evaluation in Higher Education	2.2908	1.1763	2	23	46	82			
5	Discover Sustainability	1.2566	2.1595	3	93	714	126			
6	Nurse Education Today	1.2984	2.4973	3	7	8	50			
7	Sustainability Science	-2.5276	-0.0103	7	69	277	325			
8	Integrative and Comparative Biology	2.5231	1.1348	2	10	12	7			
9	INTERNATIONAL JOURNAL OF DISASTER RESILIENCE IN THE BUILT ENVIRONMENT	-1.2252	-2.172	9	0	0	5			
10	BMC Medical Education	0.0324	-2.4238	10	0	0	0			
11	International Journal of Educational Technology in Higher Education	2.611	-0.1278	1	52	104	0			
12	Education Sciences	2.3615	-0.0729	1	48	116	42			
13	Sustainable Development	-2.5913	0.0712	7	58	179	39			
14	Mountain Research and Development	2.479	0.0719	1	55	109	4			
15	Journal of Advanced Nursing	1.4932	2.1638	3	6	11	9			
16	Cogent Education	2.502	-0.1577	1	47	130	4			
17	Higher Education Policy	1.9402	1.2621	2	61	197	29			
18	Asia Pacific Education Review	1.2716	2.2639	3	35	91	40			
19	Frontiers in Education	1.2679	2.208	3	80	628	108			
20	European Journal of Education	2.6064	0.1132	1	49	149	0			
21	Bulletin of the American Meteorological Society	1.4368	1.9629	3	7	12	6			
22	Environment, Development and Sustainability	1.2981	2.1603	3	54	213	58			
23	Planning Practice and Research	2.4233	0.0316	1	56	162	0			
24	Environmental Education Research	1.2822	2.1843	3	92	684	163			
25	SUSTAINABILITY	2.5161	-0.0032	1	83	551	261			
26	Sustainability Accounting, Management and Policy Journal	2.5474	0.1227	1	55	212	125			
27	Frontiers in Sustainable Cities	1.1105	2.2722	3	15	26	4			
28	Journal of Public Budgeting, Accounting and Financial Management	1.1896	2.0844	3	22	52	14			
29	SUSTAINABILITY SCIENCE	2.4897	-0.2445	1	37	48	2			
30	Journal of Teacher Education for Sustainability	2.4197	0.0864	1	60	141	81			
31	Current Research in Environmental Sustainability	1.4673	2.353	3	12	12	0			
32	European Journal of Geography	2.7246	-0.0672	1	41	97	12			
33	International Journal of Comparative Education and Development	2.532	-0.0524	1	60	184	5			
34	Systemic Practice and Action Research	2.5521	-0.1519	1	49	99	0			
35	Revista Interuniversitaria de Formacion del Profesorado	1.1357	2.1921	3	19	46	6			
36	International Journal of Management Education	2.1415	1.2795	2	70	300	349			
37	Sustainable Futures	2.054	1.3235	2	61	205	0			
38	Technological Forecasting and Social Change	2.1199	1.1868	2	61	250	106			
39	Profesorado	2.4874	0.2958	1	27	36	11			
40	Frontiers in Sustainability	2.5831	-0.0631	1	68	253	47			
41	Journal of Geography in Higher Education	2.6233	-0.1816	1	37	106	13			
42	Journal of University Teaching and Learning Practice	1.3502	2.213	3	22	59	3			
43	Behavioral Sciences	1.3385	2.3059	3	19	36	4			
44	Impact Assessment and Project Appraisal	2.5699	0.0033	1	60	199	1			
45	European Journal of Applied Linguistics	2.1697	-0.0079	1	14	30	0			
46	Revista Complutense de Educacion	2.3827	-0.1306	1	41	79	3			
47	E3S Web of Conferences	-2.4906	-0.2013	7	18	26	18			
48	Lecture Notes in Computer Science	2.6654	0.1383	1	41	100	0			
49	IOP Conference Series: Earth and Environmental Science	-2.1768	-1.2617	8	0	0	4			
50	Journal of Education and Learning (EduLearn)	0.8835	2.1669	3	3	5	11			
51	Sustainable Horizons	1.0895	1.995	3	8	12	11			
