id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Avg. pub. year>	description	url
1	carbon footprint	2.731	0.002	1	3	6	3	2025.0		
2	sustainability	2.5208	0.0431	1	157	843	129	2022.1		
3	literacy	2.5469	-0.0405	1	31	129	20	2022.85		
4	student	-1.7411	-1.7208	6	66	278	33	2022.48		
5	climate change	-1.9278	1.6467	4	37	117	21	2022.86		
6	united states	2.6526	0.0385	1	5	11	4	2023.5		
7	climate literacy	2.4597	-0.174	1	9	22	9	2023.67		
8	spatiotemporal analysis	2.8083	-0.074	1	4	8	3	2024.0		
9	curricula	-2.5083	-0.0795	5	36	150	21	2023.67		
10	teaching and learning	-2.3879	-0.0875	5	11	26	4	2021.25		
11	surveys	-2.4387	-0.0893	5	11	39	6	2020.0		
12	planning	-2.4337	-0.0519	5	13	51	9	2019.89		
13	sustainable development	-2.5021	0.0196	5	195	1061	149	2022.17		
14	education for sustainable development	1.7112	1.8085	2	160	797	156	2022.45		
15	teaching	-1.8474	-1.8212	6	77	385	48	2022.27		
16	interdisciplinarity	-2.3681	0.0339	5	17	44	9	2020.22		
17	higher education	1.7949	1.6954	2	184	997	159	2022.31		
18	learning	-1.8236	-1.7633	6	79	337	37	2021.35		
19	students	-2.48	-0.1562	5	69	282	42	2021.36		
20	education computing	-2.482	-0.0988	5	18	79	10	2023.1		
21	learning systems	-2.5782	-0.1114	5	5	14	3	2024.33		
22	education	-1.698	-1.7332	6	92	437	63	2022.03		
23	brandenburg [germany]	0.4234	2.3908	3	3	6	2	2021.5		
24	germany	0.177	2.4588	3	27	73	7	2021.43		
25	stakeholder	2.5995	-0.1252	1	8	20	4	2022.5		
26	impact	-1.6081	-1.5813	6	16	46	12	2022.83		
27	interdisciplinary approach	-2.4119	0.0943	5	17	52	8	2021.62		
28	implementation process	-1.9006	-2.1397	6	3	6	2	2022.0		
29	transdisciplinarity	-0.1693	2.4663	3	12	30	7	2018.43		
30	development	2.2612	0.0444	1	5	10	3	2020.67		
31	real-world	-2.2975	-0.3893	5	5	10	4	2022.0		
32	participation	-1.8309	-1.5653	6	10	21	4	2020.5		
33	participatory approach	-1.8727	-1.7219	6	13	33	5	2020.6		
34	university sector	-1.7513	-1.7455	6	52	189	22	2021.45		
35	leadership	-1.8112	-1.6198	6	11	28	8	2021.62		
36	universities	1.7973	1.8341	2	29	91	19	2022.05		
