Key;Authors;Title;Publication_Year;Abstract;estado;razones;justificacion
BacEmp_2023;"Bacelar-Nicolau, P.; Mapar, M.; Caeiro, S.; Pires, S.; Nicolau, M.; Madeira, C.; Ferreira Dias, M.; Gomes, A.P.; Nunes, M.; Nadais, H.; Malandrakis, G.";Empowering Non-Academic Staff for the Implementation of Sustainability in Higher Education Institutions;2023;Sustainability within higher education institutions (HEIs) is a well-established topic in the literature. Many fields of education for sustainable development have been explored, mainly focused on HEI students, as well as on academic staff. The technical, administrative, and management staff, referred to as non-academic staff has not received as much attention as the remaining HEI community, which leaves a gap in the successful implementation of sustainability practices and policies, as they play a vital and central role in the HEIs’ everyday functioning. Hence, the EUSTEPs project launched two sustainability training courses dedicated exclusively to this segment of the university community, aiming to increase their knowledge on facts and tools for the best sustainability transition. The first short-term online training, organized by the University of Aveiro and Universidade Aberta, Portugal, was run in May 2021. The training targeted 27 non-academic staff from different sectors. The second online training course was implemented one year later and involved 17 elements from the previous training. The results showed very high levels of overall satisfaction and full achievement of the participants’ expectations in sustainability issues. The non-academic staff learned and discussed the human–environment relationship, tracked and discussed their personal ecological footprint in the workspace, actively participated on how to run the university ecological footprint calculator, developed within the EUSTEPs project, and felt mobilized to implement actions to reduce their university’s environmental impacts (as well as in their general daily activities). Similar training programs can be used to empower non-academic staff for the implementation of sustainability in other higher education institutions, hence contributing to a successful integrated sustainability approach for the whole school. © 2023 by the authors.;PASS;passed_all_filters;
ChuInv_2022;"Chuvieco, E.; Carrillo-Hermosilla, J.; López-Mújica, M.; Campo-López, E.; Lazo-Vitoria, X.A.; Macias-Guarasa, J.; Petre, A.L.; Perdigón-Melón, J.A.; Guardiola-Soler, J.; Salado-García, M.J.";Inventory and Analysis of Environmental Sustainability Education in the Degrees of the University of Alcalá (Spain);2022;In order to promote education in environmental sustainability at higher education institutions and establish action priorities, a detailed analysis of the initial situation is needed, both in terms of courses offered and teaching and assessment strategies implemented. This article presents a methodology that can be used to standardize the evaluation of teaching in environmental sustainabil-ity at different universities. We exemplify its application at the University of Alcalá, located in Central Spain. The inventory was conducted using in-house software development for the extraction of environmental sustainability concepts in the degree courses’ syllabi, completed with a survey to faculty members and a manual review to confirm its adjustment to environmental issues. Those finally selected were analyzed in depth. The main results indicate that currently, only a small part of the courses (5.5%) offered at the University explicitly include environmental sustainability content. The grades that concentrate most of the courses are those of Environmental Sciences, Biology, Economics, Tourism and Pharmacy, with very low occurrence in the grades of Education and Health Sciences. It is concluded that further institutional commitment is needed in the definition of medium-term strategies to guide the training and dissemination efforts in order to promote sound environmental education in university courses. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.;EXCLUDE;missing_keyword_groups: group_1;Title: Inventory and Analysis of Environmental Sustainability Education in the Degrees of the University of
DejPre_2025;"Dejaco, D.; Gottfried, T.; Santer, M.; Thurner, A.; Lehmann, J.; Riedl, D.; Rumpold, G.; Holzner, B.; Schmutzhard, J.; Hofauer, B.";Pre-implementation of electronic patient-reported outcomes at reference centers for head and neck oncology. A roadmap towards patient-centered digitalization;2025;"Background: Electronically captured patient reports (electronic patient-reported outcomes, ePROs) are digital questionnaires filled out by cancer patients. Despite indications of improved clinical care, the integration of ePROs into clinical head and neck oncology is uncharted territory. Objective: This work outlines the implementation process for ePROs at the University Hospital for Otorhinolaryngology at the Medical University of Innsbruck (ENT Innsbruck). Methods: The implementation is carried out by a project team in a pre-implementation phase (needs assessment, implementation planning, identification of intra-hospital barriers, prototype development, testing and adaptation, and user training), an implementation phase (implementation and user training), and a post-implementation phase (quality control and project expansion). Results: The project team at ENT Innsbruck, consisting of 10 members, identified the need for digitalization in cancer follow-up. A hybrid implementation solution (Computer-Based Health Evaluation System, CHES; Evaluation Software Development, ESD, Innsbruck, Austria) was chosen. ePROs (European Organization for Research and Treatment of Cancer Quality of Life Questionnaire – 30 items, EORTC-QLQ-C30; Head and Neck Functional Integrity Scale, HNC-FIT scale; and EORTC Head and Neck Cancer Module, EORTC H&N43) will be collected 12 times over 5.5 years. A total of 25 users rated the prototype as user friendly (patient perspective: 8.1 ± 1.6, 3–10; user perspective: 8.6 ± 1.1, 6–10). The main advantage was faster medical history taking (72%), and the main disadvantages were a lack of personnel, time, and motivation (52%). Conclusion: The feedback on the ePRO prototype at ENT Innsbruck was positive. The implementation phase commenced in the first quarter of 2024. Goal achievement will be evaluated in the post-implementation phase in the fourth quarter of 2024. © The Author(s) 2025.";PASS;passed_all_filters;
KilReh_2022;"Kilbride, C.; Warland, A.; Stewart, V.; Aweid, B.; Samiyappan, A.; M Ryan, J.; Butcher, T.; Athanasiou, D.A.; Baker, K.; Singla-Buxarrais, G.; Anokye, N.; Pound, C.; Gowing, F.; Norris, M.";Rehabilitation using virtual gaming for Hospital and hOMe-Based training for the Upper limb post Stroke (RHOMBUS II): protocol of a feasibility randomised controlled trial;2022;"Introduction Upper limb (UL) rehabilitation is most effective early after stroke, with higher doses leading to improved outcomes. For the stroke survivor, the repetition may be monotonous. For clinicians, providing a clinically meaningful level of input can be challenging. As such, time spent engaged in UL activity among subacute stroke survivors remains inadequate. Opportunities for the stroke survivor to engage with UL rehabilitation in a safe, accessible and engaging way are essential to improving UL outcomes following stroke. The NeuroBall is a non-immersive virtual reality (VR) digital system designed for stroke rehabilitation, specifically for the arm and hand. The aim of the Rehabilitation using virtual gaming for Hospital and hOMe-Based training for the Upper limb post Stroke study is to determine the safety, feasibility and acceptability of the NeuroBall as a rehabilitation intervention for the UL in subacute stroke. Methods and analysis A feasibility randomised controlled trial (RCT) will compare the NeuroBall plus usual care with usual care only, in supporting UL rehabilitation over 7 weeks. Twenty-four participants in the subacute poststroke phase will be recruited while on the inpatient or early supported discharge (ESD) stroke pathway. Sixteen participants will be randomised to the intervention group and eight to the control group. Outcomes assessed at baseline and 7 weeks include gross level of disability, arm function, spasticity, pain, fatigue and quality of life (QoL). Safety will be assessed by recording adverse events and using pain, spasticity and fatigue scores. A parallel process evaluation will assess feasibility and acceptability of the intervention. Feasibility will also be determined by assessing fidelity to the intervention. Postintervention, semistructured interviews will be used to explore acceptability with 12 participants from the intervention group, four from the usual care group and with up to nine staff involved in delivering the intervention. Ethics and dissemination This trial has ethical approval from Brunel University London's Research Ethics Committee 25257-NHS-Oct/2020-28121-2 and the Wales Research Ethics Committee 5 Bangor (Health and Care Research Wales) REC ref: 20/WA/0347. The study is sponsored by Brunel University London. Contact: Dr Derek Healy, Chair, University Research Ethics committee (Derek.healy@brunel.ac.uk). Trial results will be submitted for publication in peer-reviewed journals, presented at national and international conferences and distributed to people with stroke. Trial registration number ISRCTN11440079; Pre-results. © Author(s) (or their employer(s)) 2022. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.";PASS;passed_all_filters;
MigStu_2020;"Migliorini, P.; Wezel, A.; Veromann, E.; Strassner, C.; Średnicka-Tober, D.; Kahl, J.; Bügel, S.; Briz, T.; Kazimierczak, R.; Brives, H.; Ploeger, A.; Gilles, U.; Lüder, V.; Schleicher-Deis, O.; Rastorgueva, N.; Tuccillo, F.; Talgre, L.; Kaart, T.; Ismael, D.; Rembiałkowska, E.";Students' knowledge and expectations about sustainable food systems in higher education;2020;Purpose: To clarify needs and requests of the young generation to the contemporary and future education on food systems, this paper aims to examine the following issues: students’ background knowledge, students’ behaviour as consumers and food citizenship, most interesting topics of SFS for students and students’ preferences and expectations in developing different skills, topics and preferences in teaching/learning methods. Design/methodology/approach: This study was performed as an online-survey amongst eight European Universities in seven European Union (EU) countries to which 1,122 students responded. Data was analysed with descriptive and multivariate statistical analyses. Findings: Taste and Health are the most important values and motives that influence students’ food buying and consumption decisions, but significant differences were found amongst students from different universities and countries. The most important topics for students for future teaching courses are “organic food”, “fair trade”, “organic agriculture” and most important skills to learn are “ability to make a judgement and justify decisions” and the “ability to create and innovate”. Excursions and field trips as teaching methods was given the highest ranks. Research limitations/implications: Different study programmes and cultural backgrounds of the participating students in the different universities could be a limiting factor for the interpretation of some results. Originality/value: These results provide a basis for improvement of higher education in the EU towards sustainable food systems based on experiential learning/teaching methods. © 2020, Emerald Publishing Limited.;EXCLUDE;missing_keyword_groups: group_1;Title: Students' knowledge and expectations about sustainable food systems in higher education
VázThe_2021;"Vázquez-Verdera, V.; Domingo, J.; Durá, E.; Gabaldon-Estevan, D.; López-Baeza, E.; López, S.M.; Meco Tébar, F.; Rueda, S.; Serrano-Lara, J.J.; Signes-Soler, I.; Vázquez-De-Ágredos-Pascual, M.L.V.Á.; Martínez-García, E.";The Future We Want: A Learning Experience to Promote SDGs in Higher Education from the United Nations and University of Valencia;2021;This article shares the strategy for mainstreaming the Sustainable Development Goals (SDGs) at the University of Valencia (UV), which, although limited in its scale, may compel other Higher Education Institutions to think in technological and social progress aligned with the 2030 Agenda. It explicates a process driven by the UV, on the occasion of the 75th anniversary of the United Nations (UN), and in collaboration with the Service for Geospatial, Information, and Telecommunications Technologies from the UN Support Base in Valencia (Spain) to prepare the online event: “The United Nations We Want”. It was the culmination of a collaborative project between students and faculties from different scientific, technological, social, legal, humanistic, and health disciplines that structure the University of Valencia. The intention was that new generations experience the role they can have to shape the future we want, while the university community as a whole can become part of transformative institutional change that draws on both top-down and bottom-up strategies in pursuit of Education for Sustainable Development. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.;PASS;passed_all_filters;
YanThe_2026;"Yang, BM; Wu, FF; Dong, SK; Wang, J; Zhang, QY; Hu, HY; Wu, XY; Jin, JX; Cai, Y; Luo, PF";The Impact of the Sand Table Simulation Teaching Method on Secondary Vocational Students' Sustainable Practical Competencies: An Empirical Study on Engineering Bidding Instruction;2026;Against the backdrop of the global sustainable development agenda and China’s “dual carbon” strategy, vocational education confronts an urgent mandate to nurture talents with professional proficiency and sustainable literacy. Thus, this study innovatively employed the sand table simulation teaching method in the secondary vocational course “Engineering Bidding and Contract Management”, integrating sustainability principles such as green procurement and life cycle cost analysis within a structured “learning–thinking–acting–reflecting” framework. The study aims to empirically explore the impact of this approach on the sustainable practice capabilities of secondary vocational students. Using a single-group pretest–posttest design, a 16-week intervention was conducted with 40 students. Data were collected via questionnaires, interviews, observations, and professional assessments, analyzed via paired t-tests. The results show that the method significantly enhanced students’ sustainable practical competencies: all posttest dimension scores exceeded pretest scores (p < 0.05, Cohen’s d = 2.201). This study verifies the effectiveness of sand table simulation teaching method in sustainable education and expands its application to engineering secondary vocational courses. It also provides a situational and operational teaching paradigm and empirical support for the integration of vocational education with SDGs. © 2026 by the authors.;PASS;passed_all_filters;
AlbEnh_2024;"Albareda-Tiana, S.; Fernandez-Borsot, G.; Berbegal-Mirabent, J.; Regadera González, E.; Mas-Machuca, M.; Graell-Martín, M.; Manresa, A.; Fernández-Morilla, M.; Fuertes Camacho, M.T.; Gutiérrez-Sierra, A.; Guardiola, J.M.";Enhancing curricular integration of the SDGs: fostering active methodologies through cross-departmental collaboration in a Spanish university;2024;Purpose: This study aims to assess the effectiveness of active teaching methodologies, namely, problem-oriented learning and the case method, to develop sustainability competencies. It also analyses the advantages and challenges for teachers when implementing the sustainable development goals (SDGs) in eight undergraduate and postgraduate degrees within the framework of a cross-departmental collaboration. Design/methodology/approach: A mixed research methodology was used: a quantitative study to assess the levels of acquisition of sustainability and research competencies and the potential correlation between them, as well as a mixed study of the advantages and challenges for the teachers participating in the cross-departmental initiative. Curriculum content linked to the SDGs was worked on. Active teaching methodologies and a competency assessment rubric were used as curriculum implementation strategies in the eight courses involved. Findings: Active teaching methodologies are suitable to implement the SDGs in university teaching and to develop both sustainability and research competencies. A synergic effect is observed between them. Coordinated work between teachers of different subjects in several degrees contributes to developing a culture of sustainability at the university. Research limitations/implications: Although the collaboration between teachers from different disciplines was successful, this study did not promote interdisciplinary projects among students from different degrees. This promises to be highly valuable for future research. Practical implications: Students can become present and future leaders in achieving the SDGs. This approach can be replicated in other educational institutions. Social implications: This study bridges the gap between theoretical recommendations and the practical implementation of the SDGs in undergraduate and postgraduate degrees. Originality/value: Coordinated work between teachers of different subjects in different degrees contributes to the development of a culture of sustainability at the university. © 2023, Emerald Publishing Limited.;EXCLUDE;missing_keyword_groups: group_1;Title: Enhancing curricular integration of the SDGs: fostering active methodologies through cross-departmen
YanEst_2024;"Yang, Q.; Zou, Y.; Lang, Y.; Yang, J.; Wu, Y.; Xiao, X.; Qin, C.; Zhao, Y.; Liu, F.";Estimated small dense low-density lipoprotein-cholesterol and the risk of kidney and cardiovascular outcomes in diabetic kidney disease;2024;Aims: This study aimed to investigate the correlations between estimated small dense low-density lipoprotein-cholesterol (esd-LDL-c) and the development of end-stage kidney disease (ESKD), cardiovascular mortality, and all-cause mortality in individuals with diabetic kidney disease (DKD) or diabetes mellitus (DM) concomitant chronic kidney disease (CKD). Methods: We analyzed the data from a biopsy-proven DKD cohort conducted at West China Hospital of Sichuan University between 2009 and 2021 (the DKD cohort) and participants with DM and CKD in the National Health and Nutrition Examination Survey (NHANES) 2011–2014 (the NHANES DM-CKD cohort). Cox regression analysis was also used to estimate associations between esd-LDL-c and the incidence of ESKD, cardiovascular mortality, and all-cause mortality. Results: There were 175 ESKD events among 338 participants in the DKD cohort. Patients were divided into three groups based on esd-LDL-c tertiles (T1 < 33.7 mg/dL, T2 ≥ 33.7 mg/dL to <45.9 mg/dL, T3 ≥ 45.9 mg/dL). The highest tertile of esd-LDL-c was associated with ESKD (adjusted HR 2.016, 95% CI 1.144–3.554, p = .015). Furthermore, there were 99 deaths (39 cardiovascular) among 293 participants in the NHANES DM-CKD cohort. Participants were classified into three groups in line with the tertile values of esd-LDL-c in the DKD cohort. The highest tertile of esd-LDL-c was associated with cardiovascular mortality (adjusted HR 3.95, 95% CI 1.3–12, p = .016) and all-cause mortality (adjusted HR 2.37, 95% CI 1.06–5.32, p = .036). Conclusions: Higher esd-LDL-c was associated with increased risk of ESKD in people with biopsy-proven DKD, and higher cardiovascular and all-cause mortality risk among those with DM-CKD. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.;PASS;passed_all_filters;
GupEff_2025;"Gupta, A.R.; Jaiswal, S.; Purpura, S.; Dizon, S.; Buan, M.; Dong, F.; Forman, F.; Mishra, J.";Effects of Solutions Centered Climate Education on Youth Beliefs and Behaviors: The University of California's Bending the Curve Course;2025;"Per the United Nations, enhancing climate literacy can play an essential role in advancing climate mitigation, adaptation, and promoting sustainable human behaviors. Yet, there is a lack of empirical research explicitly studying the effects of climate solutions focused education. Here, we studied the effects of a climate solutions focused course—the University of California Bending the Curve (BtC) course on: (1) climate change beliefs, (2) personal pro-environmental actions, and (3) psychological health, using baseline and post-course surveys. A total of 374 youth (median age 21 ± 1.7 years, 63% female) participated in the study, and data analysis focused on statistically comparing pre- versus post-course survey-based data. We observed that the BtC course enhanced climate change beliefs. Specifically, at post-relative to pre-course, we observed significantly increased belief that global warming will impact individuals personally as well as impact our future generations; it tripled the number of students who believe that humans can and will act to reduce global warming; it significantly increased the number of individuals who believe in a scientific basis for climate change. Notably, climate solutions education also enhanced belief in the efficacy of personal climate action and increased agreement amongst youth that many of their friends also share the same views on global warming. With regard to personal pro-environmental actions, the course significantly improved self-reported actions, including waste reduction, making food choices with reduced emissions, and purchase of carbon offsets. These actions reduced the carbon footprint per student at post- vs. pre-course by a significant 0.3 ± 0.1 CO<inf>2</inf> tons/year, which is equivalent to the CO<inf>2</inf> absorbed by about 15 trees per year. While psychological health outcomes did not show any significant post- vs. pre-course change, we found that enhanced personal pro-environmental actions as well as enhanced psychological health were predicted by course-related strengthening of climate change beliefs. Overall, our findings provide evidence that solutions-based climate education can be an important strategy to enhance individual climate change awareness as well as personal pro-environmental actions that lead to significant individual carbon footprint reduction, with potential for widespread scale-up. © 2025 by the authors.";PASS;passed_all_filters;
