metric_type,rater_pair,value
cohens_kappa,role_1-role_2,1.0000
cohens_kappa,role_1-role_3,0.4615
cohens_kappa,role_2-role_3,0.4615
fleiss_kappa,all,0.5962
icc_2_1,all,0.5435
percent_agreement,all,0.7143
category_kappa_exclude,all,0.6111
category_kappa_include,all,0.6111
mean_pairwise_kappa,all,0.6410
cohens_kappa,role_1-role_2,0.7945
cohens_kappa,role_1-role_3,0.5455
cohens_kappa,role_2-role_3,0.7380
fleiss_kappa,all,0.6875
icc_2_1,all,0.6049
percent_agreement,all,0.7667
category_kappa_exclude,all,0.6913
category_kappa_include,all,0.6913
mean_pairwise_kappa,all,0.6927
cohens_kappa,role_1-role_2,0.7945
cohens_kappa,role_1-role_3,0.5455
cohens_kappa,role_2-role_3,0.7380
fleiss_kappa,all,0.6875
icc_2_1,all,0.6049
percent_agreement,all,0.7667
category_kappa_exclude,all,0.6913
category_kappa_include,all,0.6913
mean_pairwise_kappa,all,0.6927
cohens_kappa,role_1-role_2,0.7629
cohens_kappa,role_1-role_3,0.5456
cohens_kappa,role_2-role_3,0.5744
fleiss_kappa,all,0.6137
icc_2_1,all,0.5042
percent_agreement,all,0.7402
category_kappa_exclude,all,0.6179
category_kappa_include,all,0.6179
mean_pairwise_kappa,all,0.6277
cohens_kappa,role_1-role_2,0.7159
cohens_kappa,role_1-role_3,0.5088
cohens_kappa,role_2-role_3,0.5638
fleiss_kappa,all,0.5804
icc_2_1,all,0.4705
percent_agreement,all,0.7303
category_kappa_exclude,all,0.5861
category_kappa_include,all,0.5861
mean_pairwise_kappa,all,0.5962
cohens_kappa,role_1-role_2,0.6648
cohens_kappa,role_1-role_3,0.4619
cohens_kappa,role_2-role_3,0.5185
fleiss_kappa,all,0.5282
icc_2_1,all,0.4478
percent_agreement,all,0.7262
category_kappa_exclude,all,0.5366
category_kappa_include,all,0.5366
mean_pairwise_kappa,all,0.5484
cohens_kappa,role_1-role_2,0.6679
cohens_kappa,role_1-role_3,0.4632
cohens_kappa,role_2-role_3,0.4962
fleiss_kappa,all,0.5243
icc_2_1,all,0.3723
percent_agreement,all,0.7201
category_kappa_exclude,all,0.5336
category_kappa_include,all,0.5349
category_kappa_uncertain,all,-0.0034
mean_pairwise_kappa,all,0.5424
cohens_kappa,role_1-role_2,0.6752
cohens_kappa,role_1-role_3,0.4695
cohens_kappa,role_2-role_3,0.5144
fleiss_kappa,all,0.5360
icc_2_1,all,0.3909
percent_agreement,all,0.7166
category_kappa_exclude,all,0.5439
category_kappa_include,all,0.5471
category_kappa_uncertain,all,0.0878
mean_pairwise_kappa,all,0.5530
cohens_kappa,role_1-role_2,0.6855
cohens_kappa,role_1-role_3,0.4826
cohens_kappa,role_2-role_3,0.5220
fleiss_kappa,all,0.5470
icc_2_1,all,0.3972
percent_agreement,all,0.7099
category_kappa_exclude,all,0.5551
category_kappa_include,all,0.5573
category_kappa_uncertain,all,0.0808
mean_pairwise_kappa,all,0.5634
cohens_kappa,role_1-role_2,0.6855
cohens_kappa,role_1-role_3,0.4826
cohens_kappa,role_2-role_3,0.5220
fleiss_kappa,all,0.5470
icc_2_1,all,0.3972
percent_agreement,all,0.7099
category_kappa_exclude,all,0.5551
category_kappa_include,all,0.5573
category_kappa_uncertain,all,0.0808
mean_pairwise_kappa,all,0.5634
